Player,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Position
Domantas Sabonis,SAC,28,29,12,17,35.6,20.9,8.2,13.7,59.8,1.0,2.4,42.9,3.5,4.4,79.1,3.6,9.9,13.5,6.1,2.8,0.8,0.4,3.5,47.0,27,4,2.4,Forward-Center
DeMar DeRozan,SAC,35,27,11,16,35.5,20.9,7.7,15.8,48.9,0.6,2.1,29.8,4.8,5.6,85.4,0.6,3.3,3.9,4.0,1.6,1.4,0.4,2.0,35.6,0,0,0.9,Guard-Forward
Darius Garland,CLE,24,31,27,4,30.0,20.7,7.5,14.9,49.9,3.0,6.8,43.4,2.8,3.1,90.7,0.5,2.1,2.6,6.5,2.4,1.1,0.2,2.2,35.2,3,0,7.1,Guard
De'Andre Hunter,ATL,27,22,15,7,27.9,20.6,6.7,13.4,50.0,2.8,6.1,45.2,4.5,5.1,87.6,0.6,3.5,4.1,1.3,1.3,0.8,0.1,2.4,29.1,0,0,2.0,Forward-Guard
Nikola Vučević,CHI,34,32,14,18,32.2,20.6,8.3,14.6,56.8,2.1,4.7,45.3,1.8,2.2,83.1,2.2,7.8,10.0,3.3,1.7,0.8,0.7,2.3,40.3,20,0,-2.9,Center
Julius Randle,MIN,30,31,17,14,33.2,20.2,6.9,14.4,47.8,1.8,4.9,36.4,4.7,5.7,82.0,1.8,5.1,7.0,4.4,2.9,0.7,0.2,2.5,34.8,6,0,1.3,Forward-Center
Trey Murphy III,NOP,24,20,2,18,34.1,20.1,6.9,15.1,45.7,3.1,8.3,37.0,3.3,3.7,89.0,0.8,3.7,4.5,2.6,1.8,1.2,0.7,2.3,33.1,0,0,-9.0,Forward
Scottie Barnes,TOR,23,19,5,14,34.1,19.9,7.4,16.2,45.5,1.6,5.6,28.0,3.6,4.9,74.2,1.8,6.0,7.8,7.1,3.7,1.4,0.6,2.3,42.2,7,1,-4.9,Forward-Guard
Jalen Johnson,ATL,23,31,17,14,36.5,19.9,7.9,15.5,50.9,1.4,4.2,33.1,2.7,3.6,74.8,1.8,8.4,10.2,5.4,3.0,1.5,1.1,2.0,45.0,18,1,2.8,Forward
Pascal Siakam,IND,30,33,16,17,33.8,19.8,7.5,14.5,52.2,1.9,4.4,43.8,2.8,3.6,78.2,1.6,5.5,7.2,3.4,1.4,1.0,0.3,2.9,35.9,5,0,0.6,Forward
